backend,model,complexity,precision,seed,epochs,first_epoch_time,median_epoch_time
torch-keras,cnn,complex,fp32,43,100,40.0938,38.8637
torch-keras,cnn,complex,fp16,43,100,44.0933,42.8725
torch-keras,cnn,complex,bf16,43,100,45.4697,43.4572
jax,mlp,complex,fp32,43,100,13.714,4.6114
jax,mlp,complex,fp16,43,100,12.4825,3.7354
jax,mlp,complex,bf16,43,100,12.2995,3.9803
jax,mlp,complex,mixed_fp16,43,100,13.3092,4.4229
jax,mlp,complex,mixed_bf16,43,100,13.8804,4.663
jax,cnn,complex,fp32,43,100,13.8175,5.8488
jax,cnn,complex,fp16,43,100,15.6912,5.8507
jax,cnn,complex,bf16,43,100,13.3259,5.7478
jax,cnn,complex,mixed_fp16,43,100,19.3395,6.1644
jax,cnn,complex,mixed_bf16,43,100,17.8001,6.3085
jax,lstm,complex,fp32,43,100,26.2822,9.4204
jax,lstm,complex,mixed_fp16,43,100,27.7804,8.0488
jax,lstm,complex,mixed_bf16,43,100,28.3747,8.5231
tf-keras,mlp,complex,fp32,43,100,17.8633,1.4699
tf-keras,mlp,complex,fp16,43,100,16.539,1.3934
tf-keras,mlp,complex,bf16,43,100,17.6897,1.4765
tf-keras,mlp,complex,mixed_fp16,43,100,20.3847,1.5535
tf-keras,mlp,complex,mixed_bf16,43,100,19.3483,1.5034
tf-keras,cnn,complex,fp32,43,100,23.158,5.666
tf-keras,cnn,complex,fp16,43,100,23.9403,4.5356
tf-keras,cnn,complex,bf16,43,100,24.4133,4.6245
tf-keras,cnn,complex,mixed_fp16,43,100,27.2286,4.8605
tf-keras,cnn,complex,mixed_bf16,43,100,24.1629,4.6745
tf-keras,lstm,complex,fp32,43,100,9.9443,4.1906
tf-keras,lstm,complex,fp16,43,100,14.6306,3.7117
tf-keras,lstm,complex,mixed_fp16,43,100,10.4828,4.2183
tf-keras,lstm,complex,mixed_bf16,43,100,9.4,4.2911
jax-keras,mlp,complex,fp32,43,100,18.1517,1.3923
jax-keras,mlp,complex,fp16,43,100,13.783,1.3998
jax-keras,mlp,complex,bf16,43,100,14.4935,1.412
jax-keras,mlp,complex,mixed_fp16,43,100,14.5949,1.9353
jax-keras,mlp,complex,mixed_bf16,43,100,13.699,1.6198
jax-keras,cnn,complex,fp32,43,100,19.55,5.4727
jax-keras,cnn,complex,fp16,43,100,19.5189,4.4766
jax-keras,cnn,complex,bf16,43,100,20.7092,4.802
jax-keras,cnn,complex,mixed_fp16,43,100,21.5311,5.3881
jax-keras,cnn,complex,mixed_bf16,43,100,19.3356,4.6386
jax-keras,lstm,complex,fp32,43,100,24.8479,6.3634
jax-keras,lstm,complex,mixed_fp16,43,100,24.2849,5.5725
jax-keras,lstm,complex,mixed_bf16,43,100,23.1517,5.7963
torch,mlp,complex,fp32,43,100,3.9618,2.8703
torch,mlp,complex,fp16,43,100,3.8316,3.0918
torch,mlp,complex,bf16,43,100,3.6994,2.8251
torch,mlp,complex,mixed_fp16,43,100,4.7478,4.4232
torch,mlp,complex,mixed_bf16,43,100,4.7989,3.901
torch,cnn,complex,fp32,43,100,10.011,8.9733
torch,cnn,complex,fp16,43,100,9.643,9.1552
torch,cnn,complex,bf16,43,100,10.0357,9.3114
torch,cnn,complex,mixed_fp16,43,100,11.7137,9.998
torch,cnn,complex,mixed_bf16,43,100,12.144,10.6355
torch,lstm,complex,fp32,43,100,2.774,2.5626
torch,lstm,complex,fp16,43,100,2.1285,1.8616
torch,lstm,complex,bf16,43,100,16.6623,15.9972
torch,lstm,complex,mixed_fp16,43,100,2.4343,2.0895
torch,lstm,complex,mixed_bf16,43,100,2.4266,2.1294
torch-keras,cnn,complex,mixed_fp16,43,100,52.0273,50.4205
torch-keras,cnn,complex,mixed_bf16,43,100,43.5384,41.5593
torch-keras,lstm,simple,fp32,44,100,41.4654,40.385
torch-keras,lstm,simple,mixed_fp16,44,100,48.6798,47.1989
torch-keras,lstm,simple,mixed_bf16,44,100,47.3579,46.1896
torch-keras,mlp,simple,fp32,44,100,5.205,4.6627
torch-keras,mlp,simple,fp16,44,100,5.8309,5.1894
torch-keras,mlp,simple,bf16,44,100,5.7917,4.8191
torch-keras,mlp,simple,mixed_fp16,44,100,7.2201,6.1729
torch-keras,mlp,simple,mixed_bf16,44,100,6.0239,5.1108
torch-keras,cnn,simple,fp32,44,100,7.0942,6.3548
torch-keras,cnn,simple,fp16,44,100,7.244,6.7166
torch-keras,cnn,simple,bf16,44,100,7.1977,6.2468
torch-keras,cnn,simple,mixed_fp16,44,100,8.3941,7.7528
torch-keras,cnn,simple,mixed_bf16,44,100,7.3281,6.4482
jax,mlp,simple,fp32,44,100,5.3168,2.2037
jax,mlp,simple,fp16,44,100,5.3013,2.2066
jax,mlp,simple,bf16,44,100,5.7129,2.1862
jax,mlp,simple,mixed_fp16,44,100,6.5171,2.9801
jax,mlp,simple,mixed_bf16,44,100,6.4728,2.9033
jax,cnn,simple,fp32,44,100,5.8839,2.7156
jax,cnn,simple,fp16,44,100,6.3789,2.871
jax,cnn,simple,bf16,44,100,6.2349,2.6251
jax,cnn,simple,mixed_fp16,44,100,7.2326,3.5699
jax,cnn,simple,mixed_bf16,44,100,7.213,3.0681
jax,lstm,simple,fp32,44,100,8.7693,3.7898
jax,lstm,simple,mixed_fp16,44,100,10.317,3.3684
jax,lstm,simple,mixed_bf16,44,100,10.5683,3.6277
tf-keras,mlp,simple,fp32,44,100,5.5535,1.1703
tf-keras,mlp,simple,fp16,44,100,5.7909,1.2752
tf-keras,mlp,simple,bf16,44,100,5.9143,1.2277
tf-keras,mlp,simple,mixed_fp16,44,100,6.2706,1.2266
tf-keras,mlp,simple,mixed_bf16,44,100,6.0047,1.1586
tf-keras,cnn,simple,fp32,44,100,6.4354,1.2861
tf-keras,cnn,simple,fp16,44,100,5.9837,1.193
tf-keras,cnn,simple,bf16,44,100,6.0743,1.2406
tf-keras,cnn,simple,mixed_fp16,44,100,7.5536,1.6331
tf-keras,cnn,simple,mixed_bf16,44,100,7.0384,1.536
tf-keras,lstm,simple,fp32,44,100,5.2857,1.8254
tf-keras,lstm,simple,fp16,44,100,5.7694,1.8779
tf-keras,lstm,simple,mixed_fp16,44,100,5.6764,1.8565
tf-keras,lstm,simple,mixed_bf16,44,100,5.1535,1.9403
torch,mlp,simple,fp32,44,100,2.1269,1.7311
torch,mlp,simple,fp16,44,100,1.962,1.5329
torch,mlp,simple,bf16,44,100,2.0172,1.486
torch,mlp,simple,mixed_fp16,44,100,2.4342,1.9164
torch,mlp,simple,mixed_bf16,44,100,2.4487,1.9624
torch,cnn,simple,fp32,44,100,2.6294,2.4048
torch,cnn,simple,fp16,44,100,2.802,2.3248
torch,cnn,simple,bf16,44,100,3.4697,2.7763
